,variable,chi_sq,p_value
335,vlo_i_390,0.1123,0.7375
13,vlo_i_1041,0.1123,0.7375
237,vlo_i_243,0.1123,0.7375
339,vlo_i_4000,0.1123,0.7375
373,vlo_i_483,0.1123,0.7375
688,siglades_Osorno,0.113,0.7367
90,vlo_i_1222,0.115,0.7345
495,vlo_i_833,0.1191,0.73
214,vlo_i_219,0.1299,0.7186
517,vlo_i_9,0.1326,0.7158
424,vlo_i_632,0.1362,0.7121
352,vlo_i_432,0.139,0.7093
591,dia_13,0.1507,0.6979
633,opera_Austral,0.1549,0.6939
680,siglades_Madrid,0.1614,0.6879
345,vlo_i_406,0.165,0.6846
324,vlo_i_37,0.1656,0.6841
509,vlo_i_87,0.166,0.6837
354,vlo_i_438,0.1668,0.683
562,vlo_i_9673,0.1693,0.6807
248,vlo_i_253,0.1786,0.6726
384,vlo_i_504,0.1811,0.6704
539,vlo_i_934,0.1861,0.6662
228,vlo_i_2368,0.1907,0.6624
327,vlo_i_376,0.1907,0.6624
278,vlo_i_291,0.195,0.6588
251,vlo_i_259,0.2153,0.6426
535,vlo_i_930,0.2176,0.6409
560,vlo_i_9661,0.2246,0.6355
540,vlo_i_9362,0.2269,0.6338
285,vlo_i_3000,0.2269,0.6338
168,vlo_i_1551,0.2269,0.6338
504,vlo_i_8541,0.2269,0.6338
360,vlo_i_4495,0.2269,0.6338
196,vlo_i_1946,0.2269,0.6338
242,vlo_i_2488,0.2269,0.6338
207,vlo_i_2092,0.2269,0.6338
186,vlo_i_1800,0.2269,0.6338
163,vlo_i_1502,0.2269,0.6338
414,vlo_i_60,0.2269,0.6338
215,vlo_i_22,0.2269,0.6338
519,vlo_i_9000,0.2269,0.6338
208,vlo_i_2093,0.2269,0.6338
238,vlo_i_247,0.2269,0.6338
710,siglades_Washington,0.2269,0.6338
554,vlo_i_9625,0.2269,0.6338
61,vlo_i_1149,0.2269,0.6338
95,vlo_i_1233,0.2269,0.6338
321,vlo_i_3624,0.2269,0.6338
153,vlo_i_1400,0.2269,0.6338
81,vlo_i_1195,0.2269,0.6338
77,vlo_i_1186,0.2269,0.6338
75,vlo_i_1178,0.2269,0.6338
71,vlo_i_1168,0.2269,0.6338
66,vlo_i_1159,0.2269,0.6338
65,vlo_i_1158,0.2269,0.6338
63,vlo_i_1154,0.2269,0.6338
60,vlo_i_1148,0.2269,0.6338
103,vlo_i_1240,0.2269,0.6338
58,vlo_i_1142,0.2269,0.6338
57,vlo_i_1141,0.2269,0.6338
45,vlo_i_1121,0.2269,0.6338
42,vlo_i_1116,0.2269,0.6338
38,vlo_i_1111,0.2269,0.6338
18,vlo_i_1054,0.2269,0.6338
17,vlo_i_1052,0.2269,0.6338
16,vlo_i_1051,0.2269,0.6338
690,"siglades_Pisco, Peru",0.2269,0.6338
10,vlo_i_1034,0.2269,0.6338
319,vlo_i_356,0.2269,0.6338
83,vlo_i_1198,0.2269,0.6338
461,vlo_i_7704,0.2269,0.6338
113,vlo_i_1251,0.2269,0.6338
142,vlo_i_1334,0.2269,0.6338
567,vlo_i_9701,0.2269,0.6338
123,vlo_i_1271,0.2269,0.6338
569,vlo_i_9782,0.2269,0.6338
119,vlo_i_1262,0.2269,0.6338
571,vlo_i_9851,0.2269,0.6338
136,vlo_i_1301,0.2269,0.6338
574,vlo_i_989,0.2269,0.6338
145,vlo_i_1351,0.2269,0.6338
555,vlo_i_9629,0.2269,0.6338
111,vlo_i_1249,0.2269,0.6338
149,vlo_i_1363,0.2269,0.6338
579,vlo_i_9956,0.2269,0.6338
108,vlo_i_1246,0.2269,0.6338
139,vlo_i_1320,0.2269,0.6338
293,vlo_i_31,0.2287,0.6325
347,vlo_i_410,0.2381,0.6256
198,vlo_i_198,0.24,0.6242
400,vlo_i_546,0.2414,0.6232
683,siglades_Miami,0.2431,0.622
671,siglades_Guayaquil,0.246,0.6199
641,opera_JetSmart SPA,0.2567,0.6124
305,vlo_i_330,0.2658,0.6062
23,vlo_i_108,0.2734,0.6011
474,vlo_i_800,0.2857,0.593
575,vlo_i_99,0.286,0.5928
385,vlo_i_506,0.286,0.5928
437,vlo_i_674,0.286,0.5928
309,vlo_i_338,0.2905,0.5899
190,vlo_i_188,0.3192,0.5721
582,dia_4,0.3214,0.5708
431,vlo_i_646,0.3237,0.5694
511,vlo_i_888,0.324,0.5692
576,vlo_i_991,0.3254,0.5684
177,vlo_i_17,0.333,0.5639
547,vlo_i_954,0.337,0.5616
563,vlo_i_968,0.337,0.5616
287,vlo_i_302,0.339,0.5604
479,vlo_i_8027,0.3746,0.5405
406,vlo_i_572,0.4169,0.5185
601,dia_23,0.4202,0.5169
368,vlo_i_460,0.4251,0.5144
674,siglades_Isla de Pascua,0.4291,0.5124
497,vlo_i_843,0.4324,0.5108
233,vlo_i_2378,0.4383,0.508
5,vlo_i_1011,0.4383,0.508
41,vlo_i_1115,0.4383,0.508
43,vlo_i_1117,0.4383,0.508
2,vlo_i_1003,0.4383,0.508
68,vlo_i_1165,0.4383,0.508
106,vlo_i_1243,0.4383,0.508
105,vlo_i_1242,0.4383,0.508
72,vlo_i_1169,0.4383,0.508
701,"siglades_San Juan, Arg.",0.442,0.5061
468,vlo_i_7896,0.442,0.5061
292,vlo_i_308,0.4457,0.5044
240,vlo_i_2478,0.4538,0.5005
370,vlo_i_47,0.4538,0.5005
26,vlo_i_1091,0.4538,0.5005
52,vlo_i_1134,0.4538,0.5005
318,vlo_i_354,0.4538,0.5005
7,vlo_i_1025,0.4538,0.5005
32,vlo_i_1103,0.4538,0.5005
99,vlo_i_1237,0.4538,0.5005
118,vlo_i_1261,0.4538,0.5005
498,vlo_i_845,0.4538,0.5005
543,vlo_i_9461,0.4538,0.5005
223,vlo_i_232,0.4538,0.5005
227,vlo_i_2366,0.4538,0.5005
661,siglades_Cataratas Iguacu,0.4538,0.5005
477,vlo_i_8021,0.4557,0.4997
78,vlo_i_1188,0.4716,0.4922
344,vlo_i_405,0.4716,0.4922
47,vlo_i_1124,0.4786,0.489
397,vlo_i_536,0.4796,0.4886
596,dia_18,0.4822,0.4874
326,vlo_i_374,0.4979,0.4804
557,vlo_i_9651,0.5028,0.4783
521,vlo_i_906,0.5075,0.4762
590,dia_12,0.537,0.4637
333,vlo_i_388,0.5431,0.4611
0,vlo_i_10,0.5434,0.461
473,vlo_i_8,0.5638,0.4527
566,vlo_i_970,0.572,0.4495
271,vlo_i_279,0.5751,0.4482
184,vlo_i_178,0.5851,0.4443
456,vlo_i_760,0.5873,0.4435
430,vlo_i_644,0.5881,0.4432
69,vlo_i_1166,0.5881,0.4432
488,vlo_i_81,0.5886,0.443
322,vlo_i_366,0.5987,0.4391
365,vlo_i_452,0.6128,0.4337
599,dia_21,0.6359,0.4252
298,vlo_i_32,0.6397,0.4238
532,vlo_i_9272,0.6452,0.4218
520,vlo_i_902,0.6452,0.4218
587,dia_9,0.6579,0.4173
544,vlo_i_95,0.6739,0.4117
346,vlo_i_41,0.6753,0.4112
465,vlo_i_778,0.6791,0.4099
107,vlo_i_1244,0.6807,0.4093
577,vlo_i_993,0.6807,0.4093
425,vlo_i_634,0.6807,0.4093
564,vlo_i_9689,0.6807,0.4093
97,vlo_i_1235,0.6807,0.4093
4,vlo_i_1005,0.6807,0.4093
668,"siglades_Curitiba, Bra.",0.6807,0.4093
600,dia_22,0.7305,0.3927
413,vlo_i_6,0.7712,0.3799
301,vlo_i_324,0.7766,0.3782
295,vlo_i_314,0.8216,0.3647
304,vlo_i_33,0.8299,0.3623
445,vlo_i_706,0.8345,0.361
428,vlo_i_640,0.8737,0.3499
286,vlo_i_301,0.8765,0.3492
325,vlo_i_372,0.8765,0.3492
146,vlo_i_1357,0.8765,0.3492
84,vlo_i_1199,0.8765,0.3492
573,vlo_i_988,0.8765,0.3492
342,vlo_i_403,0.8783,0.3487
274,vlo_i_283,0.8832,0.3473
460,vlo_i_77,0.8891,0.3457
395,vlo_i_532,0.8976,0.3434
187,vlo_i_182,0.9032,0.3419
289,vlo_i_305,0.9076,0.3407
124,vlo_i_1277,0.9076,0.3407
455,vlo_i_757,0.9076,0.3407
121,vlo_i_1267,0.9076,0.3407
529,vlo_i_9247,0.9076,0.3407
35,vlo_i_1106,0.9076,0.3407
200,vlo_i_201,1.0178,0.313
379,vlo_i_50,1.0458,0.3065
246,vlo_i_251,1.0575,0.3038
393,vlo_i_530,1.0583,0.3036
357,vlo_i_445,1.1075,0.2926
432,vlo_i_648,1.121,0.2897
449,vlo_i_73,1.1219,0.2895
389,vlo_i_52,1.1345,0.2868
12,vlo_i_104,1.1542,0.2827
581,dia_3,1.1683,0.2798
426,vlo_i_636,1.1967,0.274
308,vlo_i_336,1.2065,0.272
510,vlo_i_88,1.2475,0.264
518,vlo_i_900,1.2507,0.2634
496,vlo_i_841,1.2542,0.2628
408,vlo_i_576,1.2794,0.258
109,vlo_i_1247,1.2995,0.2543
80,vlo_i_1193,1.3148,0.2515
537,vlo_i_9303,1.317,0.2511
50,vlo_i_1130,1.317,0.2511
655,siglades_Bariloche,1.317,0.2511
291,vlo_i_307,1.317,0.2511
172,vlo_i_1600,1.317,0.2511
155,vlo_i_1428,1.317,0.2511
144,vlo_i_1340,1.317,0.2511
550,vlo_i_9601,1.317,0.2511
22,vlo_i_1071,1.317,0.2511
117,vlo_i_1260,1.317,0.2511
24,vlo_i_1083,1.317,0.2511
112,vlo_i_1250,1.317,0.2511
536,vlo_i_9301,1.317,0.2511
20,vlo_i_1061,1.317,0.2511
110,vlo_i_1248,1.317,0.2511
25,vlo_i_1088,1.317,0.2511
27,vlo_i_1099,1.317,0.2511
194,vlo_i_1927,1.317,0.2511
46,vlo_i_1122,1.317,0.2511
195,vlo_i_194,1.3336,0.2482
388,vlo_i_510,1.3443,0.2463
37,vlo_i_1108,1.3614,0.2433
294,vlo_i_312,1.392,0.2381
401,vlo_i_55,1.3937,0.2378
367,vlo_i_459,1.3981,0.237
675,siglades_La Paz,1.4047,0.2359
487,vlo_i_8099,1.4148,0.2343
687,siglades_Orlando,1.4351,0.2309
219,vlo_i_2291,1.4359,0.2308
685,siglades_Neuquen,1.449,0.2287
469,vlo_i_7899,1.449,0.2287
513,vlo_i_890,1.4662,0.226
133,vlo_i_13,1.4943,0.2216
128,vlo_i_1283,1.5276,0.2165
249,vlo_i_255,1.5342,0.2155
707,siglades_Tucuman,1.5423,0.2143
358,vlo_i_448,1.5423,0.2143
220,vlo_i_2297,1.5444,0.214
49,vlo_i_1128,1.5444,0.214
597,dia_19,1.5538,0.2126
595,dia_17,1.5689,0.2104
463,vlo_i_7721,1.5745,0.2095
420,vlo_i_622,1.6091,0.2046
165,vlo_i_152,1.6223,0.2028
583,dia_5,1.6279,0.202
181,vlo_i_172,1.6413,0.2001
523,vlo_i_910,1.6437,0.1998
314,vlo_i_348,1.6689,0.1964
546,vlo_i_952,1.6849,0.1943
268,vlo_i_275,1.6981,0.1925
493,vlo_i_8161,1.7054,0.1916
349,vlo_i_414,1.7566,0.1851
645,opera_Oceanair Linhas Aereas,1.7579,0.1849
364,vlo_i_451,1.7923,0.1806
296,vlo_i_316,1.7938,0.1805
115,vlo_i_1259,1.8152,0.1779
572,vlo_i_986,1.8152,0.1779
276,vlo_i_287,1.8266,0.1765
361,vlo_i_45,1.8686,0.1716
598,dia_20,1.882,0.1701
229,vlo_i_237,1.9137,0.1666
452,vlo_i_750,1.9311,0.1646
315,vlo_i_35,1.994,0.1579
392,vlo_i_53,2.0209,0.1551
130,vlo_i_1287,2.03,0.1542
303,vlo_i_328,2.084,0.1488
433,vlo_i_65,2.0889,0.1484
138,vlo_i_132,2.1082,0.1465
241,vlo_i_2486,2.1913,0.1388
299,vlo_i_320,2.2205,0.1362
686,siglades_Nueva York,2.2384,0.1346
260,vlo_i_265,2.2657,0.1323
530,vlo_i_9261,2.269,0.132
514,vlo_i_892,2.2881,0.1304
584,dia_6,2.3292,0.127
356,vlo_i_443,2.4476,0.1177
635,opera_British Airways,2.5706,0.1089
678,siglades_Londres,2.5706,0.1089
245,vlo_i_250,2.5706,0.1089
643,opera_Lacsa,2.6085,0.1063
213,vlo_i_217,2.621,0.1055
125,vlo_i_1279,2.6341,0.1046
391,vlo_i_523,2.6341,0.1046
336,vlo_i_396,2.6341,0.1046
436,vlo_i_67,2.6348,0.1045
602,dia_24,2.6369,0.1044
464,vlo_i_776,2.6477,0.1037
556,vlo_i_9643,2.6886,0.1011
217,vlo_i_226,2.7194,0.0991
531,vlo_i_9268,2.7228,0.0989
454,vlo_i_755,2.7228,0.0989
252,vlo_i_26,2.7292,0.0985
226,vlo_i_2364,2.7542,0.097
526,vlo_i_9244,2.7564,0.0969
533,vlo_i_9289,2.7564,0.0969
256,vlo_i_2632,2.7564,0.0969
161,vlo_i_15,2.9115,0.0879
332,vlo_i_386,2.961,0.0853
369,vlo_i_461,3.0321,0.0816
98,vlo_i_1236,3.0683,0.0798
398,vlo_i_54,3.0987,0.0784
684,siglades_Montevideo,3.2505,0.0714
604,dia_26,3.3317,0.068
702,siglades_Santa Cruz,3.3697,0.0664
507,vlo_i_864,3.3697,0.0664
486,vlo_i_8083,3.4604,0.0629
6,vlo_i_102,3.4693,0.0625
297,vlo_i_318,3.4755,0.0623
261,vlo_i_2650,3.5061,0.0611
390,vlo_i_521,3.5169,0.0607
480,vlo_i_8029,3.5195,0.0607
254,vlo_i_261,3.5516,0.0595
290,vlo_i_306,3.588,0.0582
606,dia_28,3.5965,0.0579
451,vlo_i_75,3.6293,0.0568
277,vlo_i_289,3.6623,0.0557
317,vlo_i_352,3.7465,0.0529
418,vlo_i_61,3.7839,0.0517
