#,fecha_i_dt,periodo_manana,periodo_tarde,periodo_noche,d,d,d,d,dd
5517,2017-01-30 00:05:00,0,0,1,12:05:00 AM,,,,
5518,2017-01-31 00:05:00,0,0,1,12:05:00 AM,,,,
11076,2017-02-01 00:05:00,0,0,1,12:05:00 AM,,,,
11077,2017-02-02 00:05:00,0,0,1,12:05:00 AM,,,,
11078,2017-02-03 00:05:00,0,0,1,12:05:00 AM,,,,
11079,2017-02-04 00:05:00,0,0,1,12:05:00 AM,,,,
11080,2017-02-05 00:05:00,0,0,1,12:05:00 AM,,,,
11081,2017-02-06 00:05:00,0,0,1,12:05:00 AM,,,,
11082,2017-02-07 00:05:00,0,0,1,12:05:00 AM,,,,
11083,2017-02-08 00:05:00,0,0,1,12:05:00 AM,,,,
16655,2017-03-26 00:05:00,0,0,1,12:05:00 AM,,,,
16656,2017-03-27 00:05:00,0,0,1,12:05:00 AM,,,,
16657,2017-03-28 00:05:00,0,0,1,12:05:00 AM,,,,
16658,2017-03-29 00:05:00,0,0,1,12:05:00 AM,,,,
16659,2017-03-30 00:05:00,0,0,1,12:05:00 AM,,,,
16660,2017-03-31 00:05:00,0,0,1,12:05:00 AM,,,,
26975,2017-05-14 00:05:00,0,0,1,12:05:00 AM,,,,
26976,2017-05-15 00:05:00,0,0,1,12:05:00 AM,,,,
26977,2017-05-16 00:05:00,0,0,1,12:05:00 AM,,,,
26978,2017-05-17 00:05:00,0,0,1,12:05:00 AM,,,,
26979,2017-05-18 00:05:00,0,0,1,12:05:00 AM,,,,
26980,2017-05-19 00:05:00,0,0,1,12:05:00 AM,,,,
26981,2017-05-20 00:05:00,0,0,1,12:05:00 AM,,,,
26982,2017-05-21 00:05:00,0,0,1,12:05:00 AM,,,,
26983,2017-05-22 00:05:00,0,0,1,12:05:00 AM,,,,
26984,2017-05-23 00:05:00,0,0,1,12:05:00 AM,,,,
26985,2017-05-24 00:05:00,0,0,1,12:05:00 AM,,,,
26986,2017-05-25 00:05:00,0,0,1,12:05:00 AM,,,,
26987,2017-05-26 00:05:00,0,0,1,12:05:00 AM,,,,
26988,2017-05-27 00:05:00,0,0,1,12:05:00 AM,,,,
26989,2017-05-28 00:05:00,0,0,1,12:05:00 AM,,,,
26990,2017-05-29 00:05:00,0,0,1,12:05:00 AM,,,,
26991,2017-05-30 00:05:00,0,0,1,12:05:00 AM,,,,
26992,2017-05-31 00:05:00,0,0,1,12:05:00 AM,,,,
31930,2017-06-01 00:05:00,0,0,1,12:05:00 AM,,,,
31931,2017-06-02 00:05:00,0,0,1,12:05:00 AM,,,,
31932,2017-06-03 00:05:00,0,0,1,12:05:00 AM,,,,
31933,2017-06-04 00:05:00,0,0,1,12:05:00 AM,,,,
31934,2017-06-05 00:05:00,0,0,1,12:05:00 AM,,,,
31935,2017-06-06 00:05:00,0,0,1,12:05:00 AM,,,,
31936,2017-06-07 00:05:00,0,0,1,12:05:00 AM,,,,
31937,2017-06-08 00:05:00,0,0,1,12:05:00 AM,,,,
31938,2017-06-09 00:05:00,0,0,1,12:05:00 AM,,,,
31939,2017-06-10 00:05:00,0,0,1,12:05:00 AM,,,,
31940,2017-06-11 00:05:00,0,0,1,12:05:00 AM,,,,
31941,2017-06-12 00:05:00,0,0,1,12:05:00 AM,,,,
31942,2017-06-13 00:05:00,0,0,1,12:05:00 AM,,,,
31943,2017-06-14 00:05:00,0,0,1,12:05:00 AM,,,,
31944,2017-06-15 00:05:00,0,0,1,12:05:00 AM,,,,
31945,2017-06-16 00:05:00,0,0,1,12:05:00 AM,,,,
31946,2017-06-17 00:05:00,0,0,1,12:05:00 AM,,,,
31947,2017-06-18 00:05:00,0,0,1,12:05:00 AM,,,,
31948,2017-06-19 00:05:00,0,0,1,12:05:00 AM,,,,
31949,2017-06-20 00:05:00,0,0,1,12:05:00 AM,,,,
31950,2017-06-21 00:05:00,0,0,1,12:05:00 AM,,,,
31951,2017-06-22 00:05:00,0,0,1,12:05:00 AM,,,,
31952,2017-06-23 00:05:00,0,0,1,12:05:00 AM,,,,
31953,2017-06-24 00:05:00,0,0,1,12:05:00 AM,,,,
31954,2017-06-25 00:05:00,0,0,1,12:05:00 AM,,,,
31955,2017-06-26 00:05:00,0,0,1,12:05:00 AM,,,,
31956,2017-06-27 00:05:00,0,0,1,12:05:00 AM,,,,
31957,2017-06-28 00:05:00,0,0,1,12:05:00 AM,,,,
31958,2017-06-29 00:05:00,0,0,1,12:05:00 AM,,,,
31959,2017-06-30 00:05:00,0,0,1,12:05:00 AM,,,,
37833,2017-07-01 00:05:00,0,0,1,12:05:00 AM,,,,
37834,2017-07-02 00:05:00,0,0,1,12:05:00 AM,,,,
37835,2017-07-03 00:05:00,0,0,1,12:05:00 AM,,,,
37836,2017-07-04 00:05:00,0,0,1,12:05:00 AM,,,,
37837,2017-07-05 00:05:00,0,0,1,12:05:00 AM,,,,
37838,2017-07-06 00:05:00,0,0,1,12:05:00 AM,,,,
37839,2017-07-07 00:05:00,0,0,1,12:05:00 AM,,,,
37840,2017-07-08 00:05:00,0,0,1,12:05:00 AM,,,,
37841,2017-07-09 00:05:00,0,0,1,12:05:00 AM,,,,
37842,2017-07-10 00:05:00,0,0,1,12:05:00 AM,,,,
37843,2017-07-11 00:05:00,0,0,1,12:05:00 AM,,,,
37844,2017-07-12 00:05:00,0,0,1,12:05:00 AM,,,,
37845,2017-07-13 00:05:00,0,0,1,12:05:00 AM,,,,
37846,2017-07-14 00:05:00,0,0,1,12:05:00 AM,,,,
37847,2017-07-15 00:05:00,0,0,1,12:05:00 AM,,,,
37848,2017-07-17 00:05:00,0,0,1,12:05:00 AM,,,,
37849,2017-07-18 00:05:00,0,0,1,12:05:00 AM,,,,
37850,2017-07-19 00:05:00,0,0,1,12:05:00 AM,,,,
37851,2017-07-20 00:05:00,0,0,1,12:05:00 AM,,,,
37852,2017-07-21 00:05:00,0,0,1,12:05:00 AM,,,,
37853,2017-07-22 00:05:00,0,0,1,12:05:00 AM,,,,
37854,2017-07-23 00:05:00,0,0,1,12:05:00 AM,,,,
37855,2017-07-24 00:05:00,0,0,1,12:05:00 AM,,,,
37856,2017-07-25 00:05:00,0,0,1,12:05:00 AM,,,,
37857,2017-07-26 00:05:00,0,0,1,12:05:00 AM,,,,
37858,2017-07-27 00:05:00,0,0,1,12:05:00 AM,,,,
37859,2017-07-28 00:05:00,0,0,1,12:05:00 AM,,,,
37860,2017-07-29 00:05:00,0,0,1,12:05:00 AM,,,,
37861,2017-07-30 00:05:00,0,0,1,12:05:00 AM,,,,
37862,2017-07-31 00:05:00,0,0,1,12:05:00 AM,,,,
43560,2017-08-01 00:05:00,0,0,1,12:05:00 AM,,,,
43561,2017-08-02 00:05:00,0,0,1,12:05:00 AM,,,,
43562,2017-08-03 00:05:00,0,0,1,12:05:00 AM,,,,
43563,2017-08-04 00:05:00,0,0,1,12:05:00 AM,,,,
43564,2017-08-05 00:05:00,0,0,1,12:05:00 AM,,,,
43565,2017-08-06 00:05:00,0,0,1,12:05:00 AM,,,,
43566,2017-08-07 00:05:00,0,0,1,12:05:00 AM,,,,
43567,2017-08-08 00:05:00,0,0,1,12:05:00 AM,,,,
43568,2017-08-09 00:05:00,0,0,1,12:05:00 AM,,,,
43569,2017-08-10 00:05:00,0,0,1,12:05:00 AM,,,,
43570,2017-08-11 00:05:00,0,0,1,12:05:00 AM,,,,
43571,2017-08-12 00:05:00,0,0,1,12:05:00 AM,,,,
49128,2017-09-23 00:10:00,0,0,1,12:10:00 AM,,,,
49129,2017-09-24 00:10:00,0,0,1,12:10:00 AM,,,,
49130,2017-09-25 00:10:00,0,0,1,12:10:00 AM,,,,
49131,2017-09-26 00:10:00,0,0,1,12:10:00 AM,,,,
49132,2017-09-27 00:10:00,0,0,1,12:10:00 AM,,,,
49133,2017-09-28 00:10:00,0,0,1,12:10:00 AM,,,,
49134,2017-09-29 00:10:00,0,0,1,12:10:00 AM,,,,
49135,2017-09-30 00:10:00,0,0,1,12:10:00 AM,,,,
54920,2017-10-01 00:10:00,0,0,1,12:10:00 AM,,,,
54921,2017-10-02 00:10:00,0,0,1,12:10:00 AM,,,,
54922,2017-10-03 00:10:00,0,0,1,12:10:00 AM,,,,
54923,2017-10-04 00:10:00,0,0,1,12:10:00 AM,,,,
54924,2017-10-05 00:10:00,0,0,1,12:10:00 AM,,,,
54925,2017-10-06 00:10:00,0,0,1,12:10:00 AM,,,,
54926,2017-10-07 00:10:00,0,0,1,12:10:00 AM,,,,
54927,2017-10-08 00:10:00,0,0,1,12:10:00 AM,,,,
54928,2017-10-09 00:10:00,0,0,1,12:10:00 AM,,,,
54929,2017-10-10 00:10:00,0,0,1,12:10:00 AM,,,,
54930,2017-10-11 00:10:00,0,0,1,12:10:00 AM,,,,
54931,2017-10-12 00:10:00,0,0,1,12:10:00 AM,,,,
54932,2017-10-13 00:10:00,0,0,1,12:10:00 AM,,,,
54933,2017-10-14 00:10:00,0,0,1,12:10:00 AM,,,,
54934,2017-10-15 00:10:00,0,0,1,12:10:00 AM,,,,
54935,2017-10-16 00:10:00,0,0,1,12:10:00 AM,,,,
54936,2017-10-17 00:10:00,0,0,1,12:10:00 AM,,,,
54937,2017-10-18 00:10:00,0,0,1,12:10:00 AM,,,,
54938,2017-10-19 00:10:00,0,0,1,12:10:00 AM,,,,
54939,2017-10-20 00:10:00,0,0,1,12:10:00 AM,,,,
54940,2017-10-21 00:10:00,0,0,1,12:10:00 AM,,,,
54941,2017-10-22 00:10:00,0,0,1,12:10:00 AM,,,,
54942,2017-10-23 00:10:00,0,0,1,12:10:00 AM,,,,
54943,2017-10-24 00:10:00,0,0,1,12:10:00 AM,,,,
54944,2017-10-25 00:10:00,0,0,1,12:10:00 AM,,,,
54945,2017-10-26 00:10:00,0,0,1,12:10:00 AM,,,,
54946,2017-10-27 00:10:00,0,0,1,12:10:00 AM,,,,
54947,2017-10-28 00:10:00,0,0,1,12:10:00 AM,,,,
64408,2017-12-20 00:10:00,0,0,1,12:10:00 AM,,,,
169,2017-01-01 00:15:00,0,0,1,12:15:00 AM,,,,
170,2017-01-02 00:15:00,0,0,1,12:15:00 AM,,,,
171,2017-01-03 00:15:00,0,0,1,12:15:00 AM,,,,
172,2017-01-04 00:15:00,0,0,1,12:15:00 AM,,,,
173,2017-01-05 00:15:00,0,0,1,12:15:00 AM,,,,
174,2017-01-06 00:15:00,0,0,1,12:15:00 AM,,,,
175,2017-01-07 00:15:00,0,0,1,12:15:00 AM,,,,
176,2017-01-08 00:15:00,0,0,1,12:15:00 AM,,,,
200,2017-01-09 00:15:00,0,0,1,12:15:00 AM,,,,
1201,2017-01-02 00:15:00,0,0,1,12:15:00 AM,,,,
1202,2017-01-07 00:15:00,0,0,1,12:15:00 AM,,,,
1203,2017-01-08 00:15:00,0,0,1,12:15:00 AM,,,,
1204,2017-01-09 00:15:00,0,0,1,12:15:00 AM,,,,
1205,2017-01-14 00:15:00,0,0,1,12:15:00 AM,,,,
1206,2017-01-15 00:15:00,0,0,1,12:15:00 AM,,,,
1207,2017-01-16 00:15:00,0,0,1,12:15:00 AM,,,,
1208,2017-01-21 00:15:00,0,0,1,12:15:00 AM,,,,
1209,2017-01-22 00:15:00,0,0,1,12:15:00 AM,,,,
1210,2017-01-23 00:15:00,0,0,1,12:15:00 AM,,,,
1211,2017-01-28 00:15:00,0,0,1,12:15:00 AM,,,,
1212,2017-01-29 00:15:00,0,0,1,12:15:00 AM,,,,
1213,2017-01-30 00:15:00,0,0,1,12:15:00 AM,,,,
5813,2017-01-14 00:15:00,0,0,1,12:15:00 AM,,,,
5814,2017-01-21 00:15:00,0,0,1,12:15:00 AM,,,,
5815,2017-01-28 00:15:00,0,0,1,12:15:00 AM,,,,
7176,2017-02-04 00:15:00,0,0,1,12:15:00 AM,,,,
7177,2017-02-05 00:15:00,0,0,1,12:15:00 AM,,,,
7178,2017-02-06 00:15:00,0,0,1,12:15:00 AM,,,,
7179,2017-02-11 00:15:00,0,0,1,12:15:00 AM,,,,
7180,2017-02-12 00:15:00,0,0,1,12:15:00 AM,,,,
7181,2017-02-13 00:15:00,0,0,1,12:15:00 AM,,,,
7182,2017-02-18 00:15:00,0,0,1,12:15:00 AM,,,,
8551,2017-02-11 00:15:00,0,0,1,12:15:00 AM,,,,
8552,2017-02-18 00:15:00,0,0,1,12:15:00 AM,,,,
11384,2017-02-04 00:15:00,0,0,1,12:15:00 AM,,,,
11385,2017-02-11 00:15:00,0,0,1,12:15:00 AM,,,,
11386,2017-02-18 00:15:00,0,0,1,12:15:00 AM,,,,
49895,2017-10-30 00:15:00,0,0,1,12:15:00 AM,,,,
49896,2017-10-31 00:15:00,0,0,1,12:15:00 AM,,,,
55897,2017-11-01 00:15:00,0,0,1,12:15:00 AM,,,,
26640,2017-05-14 00:25:00,0,0,1,12:25:00 AM,,,,
26641,2017-05-15 00:25:00,0,0,1,12:25:00 AM,,,,
26642,2017-05-16 00:25:00,0,0,1,12:25:00 AM,,,,
26643,2017-05-17 00:25:00,0,0,1,12:25:00 AM,,,,
26644,2017-05-18 00:25:00,0,0,1,12:25:00 AM,,,,
26645,2017-05-19 00:25:00,0,0,1,12:25:00 AM,,,,
26646,2017-05-20 00:25:00,0,0,1,12:25:00 AM,,,,
26647,2017-05-21 00:25:00,0,0,1,12:25:00 AM,,,,
26648,2017-05-22 00:25:00,0,0,1,12:25:00 AM,,,,
26649,2017-05-23 00:25:00,0,0,1,12:25:00 AM,,,,
26650,2017-05-24 00:25:00,0,0,1,12:25:00 AM,,,,
26651,2017-05-25 00:25:00,0,0,1,12:25:00 AM,,,,
26652,2017-05-26 00:25:00,0,0,1,12:25:00 AM,,,,
26653,2017-05-27 00:25:00,0,0,1,12:25:00 AM,,,,
26654,2017-05-28 00:25:00,0,0,1,12:25:00 AM,,,,
26655,2017-05-29 00:25:00,0,0,1,12:25:00 AM,,,,
26656,2017-05-30 00:25:00,0,0,1,12:25:00 AM,,,,
26657,2017-05-31 00:25:00,0,0,1,12:25:00 AM,,,,
31606,2017-06-01 00:25:00,0,0,1,12:25:00 AM,,,,
31607,2017-06-02 00:25:00,0,0,1,12:25:00 AM,,,,
31608,2017-06-03 00:25:00,0,0,1,12:25:00 AM,,,,
31609,2017-06-04 00:25:00,0,0,1,12:25:00 AM,,,,
31610,2017-06-05 00:25:00,0,0,1,12:25:00 AM,,,,
31611,2017-06-06 00:25:00,0,0,1,12:25:00 AM,,,,
31612,2017-06-07 00:25:00,0,0,1,12:25:00 AM,,,,
31613,2017-06-08 00:25:00,0,0,1,12:25:00 AM,,,,
31614,2017-06-09 00:25:00,0,0,1,12:25:00 AM,,,,
31615,2017-06-10 00:25:00,0,0,1,12:25:00 AM,,,,
31616,2017-06-11 00:25:00,0,0,1,12:25:00 AM,,,,
31617,2017-06-12 00:25:00,0,0,1,12:25:00 AM,,,,
31618,2017-06-13 00:25:00,0,0,1,12:25:00 AM,,,,
31619,2017-06-14 00:25:00,0,0,1,12:25:00 AM,,,,
31620,2017-06-15 00:25:00,0,0,1,12:25:00 AM,,,,
31621,2017-06-16 00:25:00,0,0,1,12:25:00 AM,,,,
31622,2017-06-17 00:25:00,0,0,1,12:25:00 AM,,,,
31623,2017-06-18 00:25:00,0,0,1,12:25:00 AM,,,,
31624,2017-06-19 00:25:00,0,0,1,12:25:00 AM,,,,
31625,2017-06-20 00:25:00,0,0,1,12:25:00 AM,,,,
31626,2017-06-21 00:25:00,0,0,1,12:25:00 AM,,,,
31627,2017-06-22 00:25:00,0,0,1,12:25:00 AM,,,,
31628,2017-06-23 00:25:00,0,0,1,12:25:00 AM,,,,
31629,2017-06-24 00:25:00,0,0,1,12:25:00 AM,,,,
31630,2017-06-25 00:25:00,0,0,1,12:25:00 AM,,,,
31631,2017-06-26 00:25:00,0,0,1,12:25:00 AM,,,,
31632,2017-06-27 00:25:00,0,0,1,12:25:00 AM,,,,
31633,2017-06-28 00:25:00,0,0,1,12:25:00 AM,,,,
31634,2017-06-29 00:25:00,0,0,1,12:25:00 AM,,,,
31635,2017-06-30 00:25:00,0,0,1,12:25:00 AM,,,,
37420,2017-07-01 00:25:00,0,0,1,12:25:00 AM,,,,
37421,2017-07-02 00:25:00,0,0,1,12:25:00 AM,,,,
37422,2017-07-03 00:25:00,0,0,1,12:25:00 AM,,,,
37423,2017-07-04 00:25:00,0,0,1,12:25:00 AM,,,,
37424,2017-07-05 00:25:00,0,0,1,12:25:00 AM,,,,
37425,2017-07-06 00:25:00,0,0,1,12:25:00 AM,,,,
37426,2017-07-07 00:25:00,0,0,1,12:25:00 AM,,,,
37427,2017-07-09 00:25:00,0,0,1,12:25:00 AM,,,,
37428,2017-07-10 00:25:00,0,0,1,12:25:00 AM,,,,
37429,2017-07-11 00:25:00,0,0,1,12:25:00 AM,,,,
37430,2017-07-12 00:25:00,0,0,1,12:25:00 AM,,,,
37431,2017-07-13 00:25:00,0,0,1,12:25:00 AM,,,,
37432,2017-07-14 00:25:00,0,0,1,12:25:00 AM,,,,
37433,2017-07-15 00:25:00,0,0,1,12:25:00 AM,,,,
37434,2017-07-17 00:25:00,0,0,1,12:25:00 AM,,,,
37435,2017-07-18 00:25:00,0,0,1,12:25:00 AM,,,,
37436,2017-07-19 00:25:00,0,0,1,12:25:00 AM,,,,
37437,2017-07-20 00:25:00,0,0,1,12:25:00 AM,,,,
37438,2017-07-21 00:25:00,0,0,1,12:25:00 AM,,,,
37439,2017-07-22 00:25:00,0,0,1,12:25:00 AM,,,,
37440,2017-07-23 00:25:00,0,0,1,12:25:00 AM,,,,
37441,2017-07-24 00:25:00,0,0,1,12:25:00 AM,,,,
37442,2017-07-25 00:25:00,0,0,1,12:25:00 AM,,,,
37443,2017-07-26 00:25:00,0,0,1,12:25:00 AM,,,,
37444,2017-07-27 00:25:00,0,0,1,12:25:00 AM,,,,
37445,2017-07-28 00:25:00,0,0,1,12:25:00 AM,,,,
37446,2017-07-29 00:25:00,0,0,1,12:25:00 AM,,,,
37447,2017-07-30 00:25:00,0,0,1,12:25:00 AM,,,,
37448,2017-07-31 00:25:00,0,0,1,12:25:00 AM,,,,
43233,2017-08-01 00:25:00,0,0,1,12:25:00 AM,,,,
43234,2017-08-02 00:25:00,0,0,1,12:25:00 AM,,,,
43235,2017-08-03 00:25:00,0,0,1,12:25:00 AM,,,,
43236,2017-08-04 00:25:00,0,0,1,12:25:00 AM,,,,
43237,2017-08-05 00:25:00,0,0,1,12:25:00 AM,,,,
43238,2017-08-06 00:25:00,0,0,1,12:25:00 AM,,,,
43239,2017-08-07 00:25:00,0,0,1,12:25:00 AM,,,,
43240,2017-08-08 00:25:00,0,0,1,12:25:00 AM,,,,
43241,2017-08-09 00:25:00,0,0,1,12:25:00 AM,,,,
43242,2017-08-10 00:25:00,0,0,1,12:25:00 AM,,,,
43243,2017-08-11 00:25:00,0,0,1,12:25:00 AM,,,,
43244,2017-08-12 00:25:00,0,0,1,12:25:00 AM,,,,
54948,2017-10-29 00:25:00,0,0,1,12:25:00 AM,,,,
54949,2017-10-30 00:25:00,0,0,1,12:25:00 AM,,,,
54950,2017-10-31 00:25:00,0,0,1,12:25:00 AM,,,,
55147,2017-10-30 00:25:00,0,0,1,12:25:00 AM,,,,
60967,2017-11-01 00:25:00,0,0,1,12:25:00 AM,,,,
60968,2017-11-02 00:25:00,0,0,1,12:25:00 AM,,,,
60969,2017-11-03 00:25:00,0,0,1,12:25:00 AM,,,,
60970,2017-11-04 00:25:00,0,0,1,12:25:00 AM,,,,
60971,2017-11-05 00:25:00,0,0,1,12:25:00 AM,,,,
60972,2017-11-06 00:25:00,0,0,1,12:25:00 AM,,,,
60973,2017-11-07 00:25:00,0,0,1,12:25:00 AM,,,,
60974,2017-11-08 00:25:00,0,0,1,12:25:00 AM,,,,
60975,2017-11-09 00:25:00,0,0,1,12:25:00 AM,,,,
60976,2017-11-10 00:25:00,0,0,1,12:25:00 AM,,,,
60977,2017-11-11 00:25:00,0,0,1,12:25:00 AM,,,,
60978,2017-11-12 00:25:00,0,0,1,12:25:00 AM,,,,
60979,2017-11-13 00:25:00,0,0,1,12:25:00 AM,,,,
60980,2017-11-14 00:25:00,0,0,1,12:25:00 AM,,,,
60981,2017-11-15 00:25:00,0,0,1,12:25:00 AM,,,,
60982,2017-11-16 00:25:00,0,0,1,12:25:00 AM,,,,
60983,2017-11-17 00:25:00,0,0,1,12:25:00 AM,,,,
60984,2017-11-18 00:25:00,0,0,1,12:25:00 AM,,,,
60985,2017-11-19 00:25:00,0,0,1,12:25:00 AM,,,,
60986,2017-11-20 00:25:00,0,0,1,12:25:00 AM,,,,
60987,2017-11-21 00:25:00,0,0,1,12:25:00 AM,,,,
60988,2017-11-22 00:25:00,0,0,1,12:25:00 AM,,,,
60989,2017-11-23 00:25:00,0,0,1,12:25:00 AM,,,,
60990,2017-11-24 00:25:00,0,0,1,12:25:00 AM,,,,
60991,2017-11-25 00:25:00,0,0,1,12:25:00 AM,,,,
60992,2017-11-26 00:25:00,0,0,1,12:25:00 AM,,,,
60993,2017-11-27 00:25:00,0,0,1,12:25:00 AM,,,,
60994,2017-11-28 00:25:00,0,0,1,12:25:00 AM,,,,
60995,2017-11-29 00:25:00,0,0,1,12:25:00 AM,,,,
60996,2017-11-30 00:25:00,0,0,1,12:25:00 AM,,,,
61220,2017-11-26 00:25:00,0,0,1,12:25:00 AM,,,,
67189,2017-12-01 00:25:00,0,0,1,12:25:00 AM,,,,
67190,2017-12-02 00:25:00,0,0,1,12:25:00 AM,,,,
67191,2017-12-03 00:25:00,0,0,1,12:25:00 AM,,,,
67192,2017-12-04 00:25:00,0,0,1,12:25:00 AM,,,,
67193,2017-12-05 00:25:00,0,0,1,12:25:00 AM,,,,
67194,2017-12-06 00:25:00,0,0,1,12:25:00 AM,,,,
67195,2017-12-07 00:25:00,0,0,1,12:25:00 AM,,,,
67196,2017-12-08 00:25:00,0,0,1,12:25:00 AM,,,,
67197,2017-12-09 00:25:00,0,0,1,12:25:00 AM,,,,
67198,2017-12-10 00:25:00,0,0,1,12:25:00 AM,,,,
67199,2017-12-11 00:25:00,0,0,1,12:25:00 AM,,,,
67200,2017-12-12 00:25:00,0,0,1,12:25:00 AM,,,,
67201,2017-12-13 00:25:00,0,0,1,12:25:00 AM,,,,
67202,2017-12-14 00:25:00,0,0,1,12:25:00 AM,,,,
67203,2017-12-15 00:25:00,0,0,1,12:25:00 AM,,,,
67204,2017-12-16 00:25:00,0,0,1,12:25:00 AM,,,,
67205,2017-12-17 00:25:00,0,0,1,12:25:00 AM,,,,
67206,2017-12-18 00:25:00,0,0,1,12:25:00 AM,,,,
67207,2017-12-19 00:25:00,0,0,1,12:25:00 AM,,,,
67208,2017-12-20 00:25:00,0,0,1,12:25:00 AM,,,,
67209,2017-12-21 00:25:00,0,0,1,12:25:00 AM,,,,
67210,2017-12-22 00:25:00,0,0,1,12:25:00 AM,,,,
67211,2017-12-23 00:25:00,0,0,1,12:25:00 AM,,,,
67212,2017-12-24 00:25:00,0,0,1,12:25:00 AM,,,,
67213,2017-12-25 00:25:00,0,0,1,12:25:00 AM,,,,
67214,2017-12-26 00:25:00,0,0,1,12:25:00 AM,,,,
67215,2017-12-27 00:25:00,0,0,1,12:25:00 AM,,,,
67216,2017-12-28 00:25:00,0,0,1,12:25:00 AM,,,,
67217,2017-12-29 00:25:00,0,0,1,12:25:00 AM,,,,
67218,2017-12-30 00:25:00,0,0,1,12:25:00 AM,,,,
67219,2017-12-31 00:25:00,0,0,1,12:25:00 AM,,,,
61176,2017-11-25 00:26:00,0,0,1,12:26:00 AM,,,,
22770,2017-05-14 00:27:00,0,0,1,12:27:00 AM,,,,
22771,2017-05-15 00:27:00,0,0,1,12:27:00 AM,,,,
22772,2017-05-16 00:27:00,0,0,1,12:27:00 AM,,,,
22773,2017-05-17 00:27:00,0,0,1,12:27:00 AM,,,,
22774,2017-05-18 00:27:00,0,0,1,12:27:00 AM,,,,
22775,2017-05-19 00:27:00,0,0,1,12:27:00 AM,,,,
22776,2017-05-20 00:27:00,0,0,1,12:27:00 AM,,,,
22777,2017-05-21 00:27:00,0,0,1,12:27:00 AM,,,,
22778,2017-05-22 00:27:00,0,0,1,12:27:00 AM,,,,
22779,2017-05-23 00:27:00,0,0,1,12:27:00 AM,,,,
22780,2017-05-25 00:27:00,0,0,1,12:27:00 AM,,,,
22781,2017-05-26 00:27:00,0,0,1,12:27:00 AM,,,,
22782,2017-05-29 00:27:00,0,0,1,12:27:00 AM,,,,
22783,2017-05-30 00:27:00,0,0,1,12:27:00 AM,,,,
22784,2017-05-31 00:27:00,0,0,1,12:27:00 AM,,,,
27982,2017-06-01 00:27:00,0,0,1,12:27:00 AM,,,,
27983,2017-06-02 00:27:00,0,0,1,12:27:00 AM,,,,
27984,2017-06-03 00:27:00,0,0,1,12:27:00 AM,,,,
27985,2017-06-04 00:27:00,0,0,1,12:27:00 AM,,,,
27986,2017-06-06 00:27:00,0,0,1,12:27:00 AM,,,,
27987,2017-06-07 00:27:00,0,0,1,12:27:00 AM,,,,
27988,2017-06-08 00:27:00,0,0,1,12:27:00 AM,,,,
27989,2017-06-09 00:27:00,0,0,1,12:27:00 AM,,,,
27990,2017-06-10 00:27:00,0,0,1,12:27:00 AM,,,,
27991,2017-06-11 00:27:00,0,0,1,12:27:00 AM,,,,
