X,fecha_i_dt,temporada_alta_1,temporada_alta_2,temporada_alta_3,temporada_alta_4,
63299,2017-12-31 15:10:00,0,0,0,4,
63520,2017-12-31 15:00:00,0,0,0,4,
66324,2017-12-31 15:00:00,0,0,0,4,
67035,2017-12-31 15:00:00,0,0,0,4,
67775,2017-12-31 15:00:00,0,0,0,4,
68205,2017-12-31 14:55:00,0,0,0,4,
66511,2017-12-31 14:45:00,0,0,0,4,
65946,2017-12-31 14:44:00,0,0,0,4,
62547,2017-12-31 14:30:00,0,0,0,4,
66736,2017-12-31 14:30:00,0,0,0,4,
62188,2017-12-31 14:20:00,0,0,0,4,
62529,2017-12-31 14:20:00,0,0,0,4,
66150,2017-12-31 14:17:00,0,0,0,4,
61997,2017-12-31 14:15:00,0,0,0,4,
67366,2017-12-31 14:00:00,0,0,0,4,
65455,2017-12-31 13:41:00,0,0,0,4,
62697,2017-12-31 13:40:00,0,0,0,4,
61945,2017-12-31 13:35:00,0,0,0,4,
62585,2017-12-31 13:35:00,0,0,0,4,
62666,2017-12-31 13:35:00,0,0,0,4,
62962,2017-12-31 13:35:00,0,0,0,4,
62822,2017-12-31 13:20:00,0,0,0,4,
62993,2017-12-31 13:20:00,0,0,0,4,
63088,2017-12-31 13:15:00,0,0,0,4,
63185,2017-12-31 13:15:00,0,0,0,4,
63444,2017-12-31 13:10:00,0,0,0,4,
64212,2017-12-31 13:00:00,0,0,0,4,
65630,2017-12-31 12:51:00,0,0,0,4,
67167,2017-12-31 12:50:00,0,0,0,4,
62610,2017-12-31 12:45:00,0,0,0,4,
65202,2017-12-31 12:35:00,0,0,0,4,
65867,2017-12-31 12:31:00,0,0,0,4,
63375,2017-12-31 12:25:00,0,0,0,4,
68023,2017-12-31 12:21:00,0,0,0,4,
65080,2017-12-31 12:16:00,0,0,0,4,
64282,2017-12-31 12:15:00,0,0,0,4,
65745,2017-12-31 12:07:00,0,0,0,4,
68056,2017-12-31 12:07:00,0,0,0,4,
62356,2017-12-31 12:05:00,0,0,0,4,
65672,2017-12-31 12:00:00,0,0,0,4,
64317,2017-12-31 11:55:00,0,0,0,4,
64549,2017-12-31 11:37:00,0,0,0,4,
65381,2017-12-31 11:31:00,0,0,0,4,
65469,2017-12-31 11:30:00,0,0,0,4,
66448,2017-12-31 11:30:00,0,0,0,4,
63502,2017-12-31 11:20:00,0,0,0,4,
67628,2017-12-31 11:20:00,0,0,0,4,
65029,2017-12-31 11:15:00,0,0,0,4,
63270,2017-12-31 11:10:00,0,0,0,4,
63822,2017-12-31 11:00:00,0,0,0,4,
62051,2017-12-31 10:50:00,0,0,0,4,
66359,2017-12-31 10:40:00,0,0,0,4,
66086,2017-12-31 10:34:00,0,0,0,4,
65785,2017-12-31 10:30:00,0,0,0,4,
63135,2017-12-31 10:10:00,0,0,0,4,
64526,2017-12-31 10:00:00,0,0,0,4,
64861,2017-12-31 09:54:00,0,0,0,4,
64489,2017-12-31 09:38:00,0,0,0,4,
63969,2017-12-31 09:30:00,0,0,0,4,
65846,2017-12-31 09:30:00,0,0,0,4,
66683,2017-12-31 09:30:00,0,0,0,4,
67263,2017-12-31 09:30:00,0,0,0,4,
66569,2017-12-31 09:25:00,0,0,0,4,
62074,2017-12-31 09:20:00,0,0,0,4,
66882,2017-12-31 09:20:00,0,0,0,4,
66806,2017-12-31 09:05:00,0,0,0,4,
68106,2017-12-31 09:05:00,0,0,0,4,
63206,2017-12-31 09:00:00,0,0,0,4,
66354,2017-12-31 08:55:00,0,0,0,4,
66389,2017-12-31 08:55:00,0,0,0,4,
62945,2017-12-31 08:40:00,0,0,0,4,
66851,2017-12-31 08:40:00,0,0,0,4,
64628,2017-12-31 08:30:00,0,0,0,4,
67136,2017-12-31 08:30:00,0,0,0,4,
64999,2017-12-31 08:28:00,0,0,0,4,
64694,2017-12-31 08:23:00,0,0,0,4,
63073,2017-12-31 08:15:00,0,0,0,4,
66540,2017-12-31 08:15:00,0,0,0,4,
67682,2017-12-31 08:05:00,0,0,0,4,
63657,2017-12-31 08:00:00,0,0,0,4,
62216,2017-12-31 07:53:00,0,0,0,4,
68133,2017-12-31 07:51:00,0,0,0,4,
65169,2017-12-31 07:45:00,0,0,0,4,
63347,2017-12-31 07:40:00,0,0,0,4,
64157,2017-12-31 07:35:00,0,0,0,4,
65352,2017-12-31 07:31:00,0,0,0,4,
63951,2017-12-31 07:30:00,0,0,0,4,
66478,2017-12-31 07:25:00,0,0,0,4,
63777,2017-12-31 07:20:00,0,0,0,4,
65599,2017-12-31 07:20:00,0,0,0,4,
67965,2017-12-31 07:20:00,0,0,0,4,
62148,2017-12-31 07:15:00,0,0,0,4,
66254,2017-12-31 07:10:00,0,0,0,4,
64056,2017-12-31 07:00:00,0,0,0,4,
65497,2017-12-31 07:00:00,0,0,0,4,
67179,2017-12-31 07:00:00,0,0,0,4,
62646,2017-12-31 06:55:00,0,0,0,4,
63024,2017-12-31 06:55:00,0,0,0,4,
67901,2017-12-31 06:50:00,0,0,0,4,
63750,2017-12-31 06:10:00,0,0,0,4,
63632,2017-12-31 06:05:00,0,0,0,4,
64378,2017-12-31 06:05:00,0,0,0,4,
62329,2017-12-31 05:58:00,0,0,0,4,
65703,2017-12-31 05:30:00,0,0,0,4,
67519,2017-12-31 05:30:00,0,0,0,4,
68071,2017-12-31 05:20:00,0,0,0,4,
63926,2017-12-31 05:10:00,0,0,0,4,
66234,2017-12-31 05:00:00,0,0,0,4,
67815,2017-12-31 05:00:00,0,0,0,4,
67598,2017-12-31 04:45:00,0,0,0,4,
62853,2017-12-31 04:10:00,0,0,0,4,
62386,2017-12-31 03:12:00,0,0,0,4,
62442,2017-12-31 01:41:00,0,0,0,4,
62412,2017-12-31 01:36:00,0,0,0,4,
62554,2017-12-31 01:30:00,0,0,0,4,
66842,2017-12-31 01:25:00,0,0,0,4,
62725,2017-12-31 00:55:00,0,0,0,4,
66629,2017-12-31 00:55:00,0,0,0,4,
67219,2017-12-31 00:25:00,0,0,0,4,
61861,2017-12-30 23:55:00,0,0,0,4,
62025,2017-12-30 23:45:00,0,0,0,4,
66946,2017-12-30 23:40:00,0,0,0,4,
62754,2017-12-30 23:30:00,0,0,0,4,
66796,2017-12-30 23:30:00,0,0,0,4,
66711,2017-12-30 23:20:00,0,0,0,4,
64405,2017-12-30 22:50:00,0,0,0,4,
67003,2017-12-30 22:45:00,0,0,0,4,
66734,2017-12-30 22:35:00,0,0,0,4,
61922,2017-12-30 22:30:00,0,0,0,4,
62472,2017-12-30 21:50:00,0,0,0,4,
61892,2017-12-30 21:45:00,0,0,0,4,
62174,2017-12-30 21:25:00,0,0,0,4,
64182,2017-12-30 21:10:00,0,0,0,4,
66765,2017-12-30 20:20:00,0,0,0,4,
67656,2017-12-30 20:05:00,0,0,0,4,
67083,2017-12-30 19:55:00,0,0,0,4,
67491,2017-12-30 19:55:00,0,0,0,4,
67567,2017-12-30 19:45:00,0,0,0,4,
62118,2017-12-30 19:25:00,0,0,0,4,
65299,2017-12-30 19:09:00,0,0,0,4,
63883,2017-12-30 19:00:00,0,0,0,4,
65571,2017-12-30 18:57:00,0,0,0,4,
63244,2017-12-30 18:45:00,0,0,0,4,
63403,2017-12-30 18:40:00,0,0,0,4,
62869,2017-12-30 18:35:00,0,0,0,4,
64268,2017-12-30 18:25:00,0,0,0,4,
65431,2017-12-30 18:24:00,0,0,0,4,
65065,2017-12-30 18:20:00,0,0,0,4,
64003,2017-12-30 18:15:00,0,0,0,4,
64241,2017-12-30 18:15:00,0,0,0,4,
62899,2017-12-30 18:10:00,0,0,0,4,
63847,2017-12-30 18:00:00,0,0,0,4,
67939,2017-12-30 17:46:00,0,0,0,4,
63741,2017-12-30 17:25:00,0,0,0,4,
64779,2017-12-30 17:25:00,0,0,0,4,
66654,2017-12-30 17:20:00,0,0,0,4,
68105,2017-12-30 17:09:00,0,0,0,4,
64103,2017-12-30 17:05:00,0,0,0,4,
66598,2017-12-30 17:00:00,0,0,0,4,
65815,2017-12-30 16:23:00,0,0,0,4,
64924,2017-12-30 16:20:00,0,0,0,4,
62246,2017-12-30 16:16:00,0,0,0,4,
66418,2017-12-30 15:50:00,0,0,0,4,
67064,2017-12-30 15:40:00,0,0,0,4,
66353,2017-12-30 15:35:00,0,0,0,4,
66149,2017-12-30 15:28:00,0,0,0,4,
63519,2017-12-30 15:20:00,0,0,0,4,
64346,2017-12-30 15:20:00,0,0,0,4,
64082,2017-12-30 15:10:00,0,0,0,4,
65945,2017-12-30 15:01:00,0,0,0,4,
63298,2017-12-30 15:00:00,0,0,0,4,
66872,2017-12-30 15:00:00,0,0,0,4,
67034,2017-12-30 15:00:00,0,0,0,4,
63087,2017-12-30 14:55:00,0,0,0,4,
67991,2017-12-30 14:52:00,0,0,0,4,
66510,2017-12-30 14:45:00,0,0,0,4,
67395,2017-12-30 14:42:00,0,0,0,4,
68070,2017-12-30 14:42:00,0,0,0,4,
65250,2017-12-30 14:30:00,0,0,0,4,
63698,2017-12-30 14:25:00,0,0,0,4,
62528,2017-12-30 14:20:00,0,0,0,4,
61996,2017-12-30 14:15:00,0,0,0,4,
63443,2017-12-30 14:15:00,0,0,0,4,
64749,2017-12-30 14:13:00,0,0,0,4,
65744,2017-12-30 14:10:00,0,0,0,4,
67290,2017-12-30 13:50:00,0,0,0,4,
64530,2017-12-30 13:41:00,0,0,0,4,
62696,2017-12-30 13:40:00,0,0,0,4,
63680,2017-12-30 13:40:00,0,0,0,4,
68180,2017-12-30 13:40:00,0,0,0,4,
62584,2017-12-30 13:35:00,0,0,0,4,
62665,2017-12-30 13:35:00,0,0,0,4,
62961,2017-12-30 13:35:00,0,0,0,4,
63149,2017-12-30 13:35:00,0,0,0,4,
62821,2017-12-30 13:20:00,0,0,0,4,
62992,2017-12-30 13:20:00,0,0,0,4,
63998,2017-12-30 13:10:00,0,0,0,4,
64211,2017-12-30 13:00:00,0,0,0,4,
65629,2017-12-30 12:51:00,0,0,0,4,
67166,2017-12-30 12:50:00,0,0,0,4,
68022,2017-12-30 12:50:00,0,0,0,4,
62281,2017-12-30 12:45:00,0,0,0,4,
62609,2017-12-30 12:45:00,0,0,0,4,
67232,2017-12-30 12:30:00,0,0,0,4,
68055,2017-12-30 12:22:00,0,0,0,4,
63501,2017-12-30 12:10:00,0,0,0,4,
62355,2017-12-30 12:05:00,0,0,0,4,
66291,2017-12-30 12:00:00,0,0,0,4,
66085,2017-12-30 11:50:00,0,0,0,4,
63374,2017-12-30 11:30:00,0,0,0,4,
65866,2017-12-30 11:30:00,0,0,0,4,
66447,2017-12-30 11:30:00,0,0,0,4,
63821,2017-12-30 11:20:00,0,0,0,4,
67627,2017-12-30 11:20:00,0,0,0,4,
63568,2017-12-30 11:10:00,0,0,0,4,
62050,2017-12-30 10:50:00,0,0,0,4,
66524,2017-12-30 10:45:00,0,0,0,4,
67299,2017-12-30 10:45:00,0,0,0,4,
66358,2017-12-30 10:40:00,0,0,0,4,
63269,2017-12-30 10:35:00,0,0,0,4,
65509,2017-12-30 10:33:00,0,0,0,4,
67808,2017-12-30 10:30:00,0,0,0,4,
64418,2017-12-30 10:20:00,0,0,0,4,
63316,2017-12-30 10:00:00,0,0,0,4,
64525,2017-12-30 10:00:00,0,0,0,4,
65845,2017-12-30 10:00:00,0,0,0,4,
66811,2017-12-30 09:50:00,0,0,0,4,
64998,2017-12-30 09:40:00,0,0,0,4,
66877,2017-12-30 09:35:00,0,0,0,4,
66682,2017-12-30 09:30:00,0,0,0,4,
67262,2017-12-30 09:30:00,0,0,0,4,
67803,2017-12-30 09:30:00,0,0,0,4,
66568,2017-12-30 09:25:00,0,0,0,4,
62073,2017-12-30 09:20:00,0,0,0,4,
66904,2017-12-30 09:05:00,0,0,0,4,
63072,2017-12-30 09:00:00,0,0,0,4,
63205,2017-12-30 09:00:00,0,0,0,4,
63435,2017-12-30 09:00:00,0,0,0,4,
64627,2017-12-30 09:00:00,0,0,0,4,
67322,2017-12-30 09:00:00,0,0,0,4,
66319,2017-12-30 08:50:00,0,0,0,4,
66388,2017-12-30 08:50:00,0,0,0,4,
67416,2017-12-30 08:45:00,0,0,0,4,
62944,2017-12-30 08:40:00,0,0,0,4,
67135,2017-12-30 08:30:00,0,0,0,4,
65168,2017-12-30 08:10:00,0,0,0,4,
67681,2017-12-30 08:10:00,0,0,0,4,
64838,2017-12-30 08:00:00,0,0,0,4,
67686,2017-12-30 08:00:00,0,0,0,4,
62215,2017-12-30 07:53:00,0,0,0,4,
64289,2017-12-30 07:50:00,0,0,0,4,
68151,2017-12-30 07:50:00,0,0,0,4,
63346,2017-12-30 07:40:00,0,0,0,4,
67537,2017-12-30 07:40:00,0,0,0,4,
64156,2017-12-30 07:35:00,0,0,0,4,
65598,2017-12-30 07:29:00,0,0,0,4,
65351,2017-12-30 07:27:00,0,0,0,4,
66477,2017-12-30 07:25:00,0,0,0,4,
62147,2017-12-30 07:15:00,0,0,0,4,
63950,2017-12-30 07:15:00,0,0,0,4,
64055,2017-12-30 07:00:00,0,0,0,4,
64968,2017-12-30 07:00:00,0,0,0,4,
67178,2017-12-30 07:00:00,0,0,0,4,
62645,2017-12-30 06:55:00,0,0,0,4,
63023,2017-12-30 06:55:00,0,0,0,4,
67320,2017-12-30 06:45:00,0,0,0,4,
63790,2017-12-30 06:35:00,0,0,0,4,
67964,2017-12-30 06:30:00,0,0,0,4,
63134,2017-12-30 06:10:00,0,0,0,4,
63631,2017-12-30 06:05:00,0,0,0,4,
64377,2017-12-30 06:05:00,0,0,0,4,
64819,2017-12-30 06:00:00,0,0,0,4,
62328,2017-12-30 05:58:00,0,0,0,4,
65702,2017-12-30 05:30:00,0,0,0,4,
67518,2017-12-30 05:30:00,0,0,0,4,
67814,2017-12-30 05:00:00,0,0,0,4,
67925,2017-12-30 05:00:00,0,0,0,4,
67597,2017-12-30 04:45:00,0,0,0,4,
63925,2017-12-30 04:20:00,0,0,0,4,
64308,2017-12-30 04:15:00,0,0,0,4,
62852,2017-12-30 04:10:00,0,0,0,4,
68197,2017-12-30 04:05:00,0,0,0,4,
67838,2017-12-30 04:00:00,0,0,0,4,
62385,2017-12-30 03:12:00,0,0,0,4,
64593,2017-12-30 02:00:00,0,0,0,4,
66210,2017-12-30 01:50:00,0,0,0,4,
62441,2017-12-30 01:41:00,0,0,0,4,
66841,2017-12-30 01:25:00,0,0,0,4,
62724,2017-12-30 00:55:00,0,0,0,4,
66628,2017-12-30 00:55:00,0,0,0,4,
63042,2017-12-30 00:35:00,0,0,0,4,
67218,2017-12-30 00:25:00,0,0,0,4,
61860,2017-12-29 23:55:00,0,0,0,4,
66917,2017-12-29 23:55:00,0,0,0,4,
62024,2017-12-29 23:45:00,0,0,0,4,
66945,2017-12-29 23:40:00,0,0,0,4,
62753,2017-12-29 23:30:00,0,0,0,4,
66795,2017-12-29 23:30:00,0,0,0,4,
66710,2017-12-29 23:20:00,0,0,0,4,
64503,2017-12-29 23:10:00,0,0,0,4,
65109,2017-12-29 22:56:00,0,0,0,4,
64404,2017-12-29 22:50:00,0,0,0,4,
67002,2017-12-29 22:45:00,0,0,0,4,
67390,2017-12-29 22:42:00,0,0,0,4,
66733,2017-12-29 22:35:00,0,0,0,4,
61921,2017-12-29 22:30:00,0,0,0,4,
65106,2017-12-29 22:14:00,0,0,0,4,
67798,2017-12-29 22:00:00,0,0,0,4,
62471,2017-12-29 21:50:00,0,0,0,4,
65125,2017-12-29 21:48:00,0,0,0,4,
61891,2017-12-29 21:45:00,0,0,0,4,
66027,2017-12-29 21:34:00,0,0,0,4,
62173,2017-12-29 21:25:00,0,0,0,4,
61965,2017-12-29 21:10:00,0,0,0,4,
64181,2017-12-29 21:10:00,0,0,0,4,
64573,2017-12-29 21:10:00,0,0,0,4,
62913,2017-12-29 20:50:00,0,0,0,4,
64127,2017-12-29 20:45:00,0,0,0,4,
64296,2017-12-29 20:40:00,0,0,0,4,
65321,2017-12-29 20:35:00,0,0,0,4,
64026,2017-12-29 20:25:00,0,0,0,4,
63464,2017-12-29 20:20:00,0,0,0,4,
66182,2017-12-29 20:20:00,0,0,0,4,
66764,2017-12-29 20:20:00,0,0,0,4,
64566,2017-12-29 20:15:00,0,0,0,4,
67655,2017-12-29 20:05:00,0,0,0,4,
64477,2017-12-29 19:56:00,0,0,0,4,
67082,2017-12-29 19:55:00,0,0,0,4,
67566,2017-12-29 19:45:00,0,0,0,4,
65079,2017-12-29 19:41:00,0,0,0,4,
66175,2017-12-29 19:39:00,0,0,0,4,
64472,2017-12-29 19:30:00,0,0,0,4,
66279,2017-12-29 19:25:00,0,0,0,4,
63243,2017-12-29 19:15:00,0,0,0,4,
65286,2017-12-29 19:12:00,0,0,0,4,
65921,2017-12-29 19:10:00,0,0,0,4,
67990,2017-12-29 19:02:00,0,0,0,4,
67490,2017-12-29 19:00:00,0,0,0,4,
63402,2017-12-29 18:50:00,0,0,0,4,
65989,2017-12-29 18:43:00,0,0,0,4,
65430,2017-12-29 18:34:00,0,0,0,4,
68199,2017-12-29 18:30:00,0,0,0,4,
64267,2017-12-29 18:25:00,0,0,0,4,
63148,2017-12-29 18:20:00,0,0,0,4,
64240,2017-12-29 18:15:00,0,0,0,4,
64923,2017-12-29 18:15:00,0,0,0,4,
64548,2017-12-29 18:12:00,0,0,0,4,
62898,2017-12-29 18:10:00,0,0,0,4,
64778,2017-12-29 18:02:00,0,0,0,4,
63740,2017-12-29 18:00:00,0,0,0,4,
63518,2017-12-29 17:50:00,0,0,0,4,
68104,2017-12-29 17:42:00,0,0,0,4,
62298,2017-12-29 17:30:00,0,0,0,4,
67746,2017-12-29 17:30:00,0,0,0,4,
64946,2017-12-29 17:28:00,0,0,0,4,
65263,2017-12-29 17:17:00,0,0,0,4,
66653,2017-12-29 17:15:00,0,0,0,4,
64102,2017-12-29 17:10:00,0,0,0,4,
66005,2017-12-29 17:02:00,0,0,0,4,
66597,2017-12-29 17:00:00,0,0,0,4,
63596,2017-12-29 16:45:00,0,0,0,4,
67408,2017-12-29 16:45:00,0,0,0,4,
65555,2017-12-29 16:41:00,0,0,0,4,
65064,2017-12-29 16:38:00,0,0,0,4,
67880,2017-12-29 16:30:00,0,0,0,4,
67342,2017-12-29 16:22:00,0,0,0,4,
66972,2017-12-29 16:20:00,0,0,0,4,
62245,2017-12-29 16:16:00,0,0,0,4,
65944,2017-12-29 16:14:00,0,0,0,4,
65402,2017-12-29 16:05:00,0,0,0,4,
66417,2017-12-29 15:50:00,0,0,0,4,
67063,2017-12-29 15:40:00,0,0,0,4,
63846,2017-12-29 15:35:00,0,0,0,4,
66352,2017-12-29 15:35:00,0,0,0,4,
66148,2017-12-29 15:27:00,0,0,0,4,
65249,2017-12-29 15:22:00,0,0,0,4,
64345,2017-12-29 15:20:00,0,0,0,4,
63297,2017-12-29 15:10:00,0,0,0,4,
68150,2017-12-29 15:06:00,0,0,0,4,
67033,2017-12-29 15:00:00,0,0,0,4,
65877,2017-12-29 14:56:00,0,0,0,4,
68204,2017-12-29 14:55:00,0,0,0,4,
66509,2017-12-29 14:45:00,0,0,0,4,
62546,2017-12-29 14:30:00,0,0,0,4,
65222,2017-12-29 14:25:00,0,0,0,4,
62527,2017-12-29 14:20:00,0,0,0,4,
68186,2017-12-29 14:20:00,0,0,0,4,
61995,2017-12-29 14:15:00,0,0,0,4,
62991,2017-12-29 14:15:00,0,0,0,4,
63697,2017-12-29 14:10:00,0,0,0,4,
64748,2017-12-29 14:06:00,0,0,0,4,
63086,2017-12-29 14:00:00,0,0,0,4,
65743,2017-12-29 14:00:00,0,0,0,4,
68054,2017-12-29 13:50:00,0,0,0,4,
62695,2017-12-29 13:40:00,0,0,0,4,
67938,2017-12-29 13:40:00,0,0,0,4,
61944,2017-12-29 13:35:00,0,0,0,4,
62583,2017-12-29 13:35:00,0,0,0,4,
62664,2017-12-29 13:35:00,0,0,0,4,
63997,2017-12-29 13:30:00,0,0,0,4,
65454,2017-12-29 13:26:00,0,0,0,4,
62776,2017-12-29 13:25:00,0,0,0,4,
63827,2017-12-29 13:25:00,0,0,0,4,
62820,2017-12-29 13:20:00,0,0,0,4,
64728,2017-12-29 13:16:00,0,0,0,4,
63184,2017-12-29 13:15:00,0,0,0,4,
65671,2017-12-29 13:15:00,0,0,0,4,
64210,2017-12-29 13:00:00,0,0,0,4,
65354,2017-12-29 13:00:00,0,0,0,4,
65628,2017-12-29 12:51:00,0,0,0,4,
67165,2017-12-29 12:50:00,0,0,0,4,
62280,2017-12-29 12:45:00,0,0,0,4,
64878,2017-12-29 12:34:00,0,0,0,4,
65468,2017-12-29 12:31:00,0,0,0,4,
63679,2017-12-29 12:20:00,0,0,0,4,
66084,2017-12-29 12:10:00,0,0,0,4,
62354,2017-12-29 12:05:00,0,0,0,4,
64462,2017-12-29 12:02:00,0,0,0,4,
67767,2017-12-29 12:00:00,0,0,0,4,
65526,2017-12-29 11:56:00,0,0,0,4,
63373,2017-12-29 11:45:00,0,0,0,4,
66035,2017-12-29 11:38:00,0,0,0,4,
64081,2017-12-29 11:30:00,0,0,0,4,
65028,2017-12-29 11:28:00,0,0,0,4,
66446,2017-12-29 11:25:00,0,0,0,4,
63500,2017-12-29 11:20:00,0,0,0,4,
67626,2017-12-29 11:20:00,0,0,0,4,
67425,2017-12-29 11:11:00,0,0,0,4,
63820,2017-12-29 11:00:00,0,0,0,4,
66523,2017-12-29 10:45:00,0,0,0,4,
68021,2017-12-29 10:31:00,0,0,0,4,
65784,2017-12-29 10:20:00,0,0,0,4,
63361,2017-12-29 10:00:00,0,0,0,4,
64860,2017-12-29 09:54:00,0,0,0,4,
64524,2017-12-29 09:40:00,0,0,0,4,
65844,2017-12-29 09:30:00,0,0,0,4,
66681,2017-12-29 09:30:00,0,0,0,4,
67261,2017-12-29 09:30:00,0,0,0,4,
66567,2017-12-29 09:25:00,0,0,0,4,
62072,2017-12-29 09:20:00,0,0,0,4,
64670,2017-12-29 09:19:00,0,0,0,4,
65185,2017-12-29 09:06:00,0,0,0,4,
66903,2017-12-29 09:05:00,0,0,0,4,
63071,2017-12-29 09:00:00,0,0,0,4,
63204,2017-12-29 09:00:00,0,0,0,4,
66387,2017-12-29 08:55:00,0,0,0,4,
68179,2017-12-29 08:55:00,0,0,0,4,
66318,2017-12-29 08:50:00,0,0,0,4,
62943,2017-12-29 08:40:00,0,0,0,4,
64693,2017-12-29 08:39:00,0,0,0,4,
63268,2017-12-29 08:30:00,0,0,0,4,
67134,2017-12-29 08:30:00,0,0,0,4,
64316,2017-12-29 08:20:00,0,0,0,4,
65380,2017-12-29 08:20:00,0,0,0,4,
63656,2017-12-29 08:10:00,0,0,0,4,
63789,2017-12-29 08:00:00,0,0,0,4,
67669,2017-12-29 08:00:00,0,0,0,4,
62214,2017-12-29 07:53:00,0,0,0,4,
64626,2017-12-29 07:50:00,0,0,0,4,
65496,2017-12-29 07:47:00,0,0,0,4,
67429,2017-12-29 07:45:00,0,0,0,4,
63345,2017-12-29 07:40:00,0,0,0,4,
67379,2017-12-29 07:40:00,0,0,0,4,
67536,2017-12-29 07:40:00,0,0,0,4,
64155,2017-12-29 07:35:00,0,0,0,4,
65350,2017-12-29 07:32:00,0,0,0,4,
66476,2017-12-29 07:25:00,0,0,0,4,
63567,2017-12-29 07:20:00,0,0,0,4,
64427,2017-12-29 07:20:00,0,0,0,4,
62146,2017-12-29 07:15:00,0,0,0,4,
64997,2017-12-29 07:12:00,0,0,0,4,
63949,2017-12-29 07:10:00,0,0,0,4,
65597,2017-12-29 07:00:00,0,0,0,4,
65654,2017-12-29 07:00:00,0,0,0,4,
67177,2017-12-29 07:00:00,0,0,0,4,
62644,2017-12-29 06:55:00,0,0,0,4,
63022,2017-12-29 06:55:00,0,0,0,4,
63776,2017-12-29 06:50:00,0,0,0,4,
64967,2017-12-29 06:40:00,0,0,0,4,
64054,2017-12-29 06:20:00,0,0,0,4,
63133,2017-12-29 06:10:00,0,0,0,4,
63630,2017-12-29 06:05:00,0,0,0,4,
64376,2017-12-29 06:05:00,0,0,0,4,
64818,2017-12-29 06:00:00,0,0,0,4,
67859,2017-12-29 06:00:00,0,0,0,4,
67900,2017-12-29 06:00:00,0,0,0,4,
62327,2017-12-29 05:58:00,0,0,0,4,
64648,2017-12-29 05:55:00,0,0,0,4,
65701,2017-12-29 05:30:00,0,0,0,4,
67517,2017-12-29 05:30:00,0,0,0,4,
66233,2017-12-29 05:15:00,0,0,0,4,
67724,2017-12-29 05:00:00,0,0,0,4,
67596,2017-12-29 04:45:00,0,0,0,4,
63924,2017-12-29 04:20:00,0,0,0,4,
62851,2017-12-29 04:10:00,0,0,0,4,
68069,2017-12-29 04:05:00,0,0,0,4,
